Date,Key,GroceryAndPharmacy,TransitStations,Parks,Workplaces,RetailAndRecreation,Residential
2020-02-26,FI,2,-3,37,-12,3,2
2020-02-26,FJ,-7,0,-2,9,1,0
2020-02-26,FR,-1,-5,3,-14,-5,4
2020-02-26,GA,-3,0,-7,2,0,1
2020-02-26,GB,1,0,7,0,2,0
2020-02-26,GE,13,5,10,5,7,-1
2020-02-26,GH,-2,-1,-2,1,-2,0
2020-02-26,GR,19,6,10,3,3,-1
2020-02-26,GT,0,-1,3,3,-1,0
2020-02-26,HK,-10,-28,-13,-11,-24,12
2020-02-26,HN,-5,-6,-8,7,-8,0
2020-02-26,HR,0,-3,2,0,-2,1
2020-02-26,HT,-9,-8,-7,-13,-9,5
2020-02-26,HU,9,1,5,1,1,0
2020-02-26,ID,1,2,-3,4,0,0
2020-02-26,IE,2,3,13,2,2,0
2020-02-26,IL,3,3,24,1,4,-1
2020-02-26,IN,-1,1,3,4,0,0
2020-02-26,IQ,12,12,7,3,6,2
2020-02-26,IT,-3,-22,-2,-12,-11,6
2020-02-26,JM,-4,-3,6,-23,0,6
2020-02-26,JO,7,-1,17,7,5,-2
2020-02-26,JP,6,-6,-4,0,-3,1
2020-02-26,KE,-3,3,0,5,1,0
2020-02-26,KG,4,0,-3,11,1,-1
2020-02-26,KH,-1,-21,0,5,-1,2
2020-02-26,KR,-10,-24,2,-10,-30,9
2020-02-26,KW,-4,-12,-5,-29,-17,11
2020-02-26,KZ,-3,4,-4,4,-3,1
2020-02-26,LA,2,-5,2,9,1,1
2020-02-26,LB,1,0,10,1,3,-1
2020-02-26,LK,6,5,4,7,3,1
2020-02-26,LT,5,1,-4,1,-1,0
2020-02-26,LU,-6,0,2,-1,-11,2
2020-02-26,LV,0,1,-3,2,-1,0
2020-02-26,LY,7,10,13,5,3,1
2020-02-26,MD,0,-2,-2,4,0,0
2020-02-26,MK,5,-1,0,1,-3,0
2020-02-26,ML,1,-1,3,5,3,1
2020-02-26,MM,-1,-2,-2,6,-1,2
2020-02-26,MN,-30,-46,-33,-38,-49,16
2020-02-26,MT,8,4,16,1,4,1
2020-02-26,MU,-3,-1,-13,3,2,0
2020-02-26,MX,1,2,0,7,0,-1
2020-02-26,MY,-4,-5,-3,3,-3,1
2020-02-26,MZ,0,2,3,16,0,-4
2020-02-26,NA,1,-5,5,10,1,-2
2020-02-26,NE,4,6,-2,3,3,0
2020-02-26,NG,-1,1,2,3,0,1
2020-02-26,NI,-5,-3,-2,11,-3,0
2020-02-26,NL,-1,-7,-4,-13,0,3
2020-02-26,NO,2,0,17,-5,1,1
2020-02-26,NP,5,5,1,4,5,0
2020-02-26,NZ,2,12,-4,18,0,-2
2020-02-26,OM,0,0,-1,9,0,-1
2020-02-26,PA,2,-8,-6,-10,-2,2
2020-02-26,PE,0,1,0,0,0,0
2020-02-26,PG,7,-1,-8,13,6,0
2020-02-26,PH,-1,-5,-3,6,-2,0
2020-02-26,PK,2,2,7,3,0,0
2020-02-26,PL,2,5,4,8,2,0
2020-02-26,PR,0,2,3,9,1,-1
2020-02-26,PT,5,5,26,-3,3,0
2020-02-26,PY,-1,-4,-1,18,-1,-1
2020-02-26,QA,4,-1,3,4,2,1
2020-02-26,RO,3,1,-4,3,-1,0
2020-02-26,RW,-1,8,1,2,0,-1
2020-02-26,SA,3,-2,-3,2,1,1
2020-02-26,SE,4,-3,9,-5,7,1
2020-02-26,SG,-10,-10,-5,-4,-12,6
2020-02-26,SI,-1,-4,-6,-7,-4,2
2020-02-26,SK,2,3,12,-5,2,1
2020-02-26,SN,-5,-5,-2,2,-6,2
2020-02-26,SV,-2,-2,-1,4,-1,0
2020-02-26,TG,-2,-5,3,2,-7,3
2020-02-26,TH,-1,-8,-7,-1,-4,2
2020-02-26,TJ,-6,-2,-12,16,-7,-1
2020-02-26,TR,5,3,9,11,-1,-1
2020-02-26,TT,10,16,11,-9,2,3
2020-02-26,TW,-1,-6,-6,9,-5,-2
2020-02-26,TZ,2,5,0,-1,1,1
2020-02-26,UG,-1,0,-7,8,-1,-1
2020-02-26,US,3,4,10,2,7,-1
2020-02-26,US_AK,6,8,11,2,10,-1
2020-02-26,US_AL,5,9,12,1,13,-1
2020-02-26,US_AR,7,6,23,3,16,-2
2020-02-26,US_AZ,4,7,15,2,9,-1
2020-02-26,US_CA,3,3,14,2,5,-1
2020-02-26,US_CO,6,3,11,2,7,-1
2020-02-26,US_CT,1,3,4,3,4,0
2020-02-26,US_DE,3,2,-2,2,6,-1
2020-02-26,US_FL,4,6,-1,1,7,0
2020-02-26,US_GA,4,6,6,2,9,-1
2020-02-26,US_HI,3,-1,4,0,2,0
2020-02-26,US_IA,5,1,11,3,6,0
2020-02-26,US_ID,8,9,41,3,10,-1
2020-02-26,US_IL,3,2,2,2,4,0
2020-02-26,US_IN,1,5,-2,-1,5,1
2020-02-26,US_KS,2,5,17,2,9,-1
2020-02-26,US_KY,7,2,-3,0,9,0
2020-02-26,US_LA,8,14,19,-5,15,0
2020-02-26,US_MA,0,5,0,2,4,0
2020-02-26,US_MD,0,0,-3,2,3,0
2020-02-26,US_ME,-6,-4,-10,-3,-4,4
2020-02-26,US_MI,-5,5,-9,-9,-1,4
2020-02-26,US_MN,2,4,-3,2,4,0
2020-02-26,US_MO,4,6,4,4,10,-1
2020-02-26,US_MS,7,13,16,1,19,-1
2020-02-26,US_MT,3,7,6,2,11,-1
2020-02-26,US_NC,3,9,8,2,10,-1
2020-02-26,US_ND,-1,5,10,2,8,-1
2020-02-26,US_NE,3,7,14,2,7,-1
2020-02-26,US_NH,-5,5,-5,-11,3,3
2020-02-26,US_NJ,1,2,1,1,3,0
2020-02-26,US_NM,10,9,19,2,13,-1
2020-02-26,US_NV,5,5,12,1,8,-1
2020-02-26,US_NY,-1,0,-4,1,0,1
2020-02-26,US_OH,0,2,-5,-2,3,2
2020-02-26,US_OK,8,10,20,3,15,-2
2020-02-26,US_OR,5,7,50,1,10,-1
2020-02-26,US_PA,0,3,2,1,4,0
2020-02-26,US_RI,-2,3,6,2,7,0
2020-02-26,US_SC,4,12,4,2,12,-1
2020-02-26,US_SD,8,7,5,0,6,-1
2020-02-26,US_TN,5,7,9,2,11,-1
2020-02-26,US_TX,6,7,19,3,11,-2
2020-02-26,US_UT,11,7,34,2,10,-1
2020-02-26,US_VA,4,6,5,2,6,-1
2020-02-26,US_VT,-5,-2,-17,-8,-2,3
2020-02-26,US_WA,4,8,54,2,9,-1
2020-02-26,US_WI,1,3,5,2,4,0
2020-02-26,US_WV,-1,4,-4,-2,7,1
2020-02-26,US_WY,8,8,4,2,9,-1
2020-02-26,UY,-4,-1,-5,4,-4,0
2020-02-26,VE,1,1,2,5,0,1
2020-02-26,VN,-9,-13,-9,7,-11,2
2020-02-26,YE,1,9,3,8,5,1
2020-02-26,ZA,3,6,-6,5,4,-1
2020-02-26,ZM,-3,-3,-1,6,0,1
2020-02-26,ZW,6,-11,-3,6,3,0
2020-02-27,AE,5,-1,-1,2,1,1
2020-02-27,AF,3,4,1,6,-2,2
2020-02-27,AG,3,10,4,3,3,0
2020-02-27,AO,6,-1,7,4,5,-1
2020-02-27,AR,1,8,-7,13,2,-1
2020-02-27,AT,8,-1,2,1,0,1
2020-02-27,AU,4,13,-1,16,3,-2
2020-02-27,AW,5,5,4,4,5,-2
2020-02-27,BA,0,1,-4,11,-3,0
2020-02-27,BB,6,7,23,1,8,-1
2020-02-27,BD,6,7,14,7,6,1
2020-02-27,BE,2,-11,-2,-23,-1,5
2020-02-27,BF,-1,2,-2,4,1,-2
2020-02-27,BG,5,10,-2,2,-3,-1
2020-02-27,BH,-4,-13,-25,0,-17,5
2020-02-27,BJ,6,1,1,-3,-1,1
2020-02-27,BO,-2,-12,-2,16,-10,0
2020-02-27,BR,3,2,-15,12,-6,1
2020-02-27,BS,7,5,6,0,5,0
2020-02-27,BW,8,8,-5,4,11,-2
2020-02-27,BY,5,5,7,6,0,-1
2020-02-27,BZ,4,9,5,1,6,0
2020-02-27,CA,-2,-1,-5,-1,-3,2
2020-02-27,CH,6,-2,6,-4,-2,2
2020-02-27,CI,0,0,7,2,-1,0
2020-02-27,CL,7,0,-3,2,4,1
2020-02-27,CM,2,3,4,0,-2,1
2020-02-27,CO,4,8,-4,18,1,-2
2020-02-27,CR,4,1,-2,22,0,-3
2020-02-27,CV,-4,-9,-4,-1,-3,0
2020-02-27,CZ,7,0,3,-1,1,0
2020-02-27,DE,9,-3,5,-5,0,2
2020-02-27,DK,1,5,23,2,13,-1
2020-02-27,DO,0,-5,13,-17,-4,4
2020-02-27,EC,-1,-3,-4,-8,-2,3
2020-02-27,EE,0,-2,12,-18,-2,4
2020-02-27,EG,10,10,17,10,10,0
2020-02-27,ES,-3,3,28,-8,1,0
2020-02-27,FI,1,-5,37,-13,3,2
2020-02-27,FJ,-4,4,-3,11,3,0
2020-02-27,FR,1,-2,11,-15,-2,4
2020-02-27,GA,2,0,0,5,5,0
2020-02-27,GB,1,0,-7,0,1,1
2020-02-27,GE,14,5,7,10,6,-1
2020-02-27,GH,-3,1,-1,2,-2,0
2020-02-27,GR,19,8,7,2,1,0
2020-02-27,GT,3,-2,3,4,3,-1
2020-02-27,HK,-7,-29,-13,-16,-23,15
2020-02-27,HN,-2,-8,-13,9,-6,0
2020-02-27,HR,0,-1,2,0,-2,1
2020-02-27,HT,-4,-6,-7,-3,-4,4
2020-02-27,HU,7,0,-2,1,1,1
2020-02-27,ID,3,3,-5,5,1,0
2020-02-27,IE,5,4,4,1,3,0
2020-02-27,IL,5,9,65,3,6,-1
2020-02-27,IN,1,1,3,4,0,0
2020-02-27,IQ,13,11,9,10,7,2
2020-02-27,IT,-2,-20,7,-12,-8,5
2020-02-27,JM,7,2,1,-8,4,3
2020-02-27,JO,13,-3,62,3,12,-3
2020-02-27,JP,12,-9,-4,1,-2,2
2020-02-27,KE,1,5,3,7,3,-1
2020-02-27,KG,5,3,-2,13,3,-2
2020-02-27,KH,-2,-22,0,5,0,1
2020-02-27,KR,-15,-28,-27,-11,-35,12
2020-02-27,KW,-6,-13,-15,-6,-20,7
2020-02-27,KZ,2,11,1,9,3,-1
2020-02-27,LA,4,-4,2,13,3,0
2020-02-27,LB,5,-2,16,2,6,-1
2020-02-27,LK,8,6,4,7,5,1
2020-02-27,LT,7,-1,-2,2,-3,1
2020-02-27,LU,7,3,13,-1,-3,2
2020-02-27,LV,1,0,-2,1,1,0
2020-02-27,LY,5,9,10,4,3,0
2020-02-27,MD,-1,-4,-1,5,-2,0
2020-02-27,MK,-1,-5,-16,13,-6,1
2020-02-27,ML,-2,-2,1,5,4,1
2020-02-27,MM,3,1,-3,9,2,1
2020-02-27,MN,-24,-41,-32,-24,-40,14
2020-02-27,MT,7,3,14,3,6,0
2020-02-27,MU,-1,0,-16,12,3,0
2020-02-27,MX,5,5,2,10,3,-2
2020-02-27,MY,-1,-1,-2,5,0,1
2020-02-27,MZ,1,2,1,17,-2,-3
2020-02-27,NA,10,2,9,11,10,-4
2020-02-27,NE,-4,8,-4,3,6,-1
2020-02-27,NG,1,2,3,4,1,1
2020-02-27,NI,0,-1,-2,13,2,-1
2020-02-27,NL,1,-6,5,-13,1,2
2020-02-27,NO,3,1,18,-5,1,1
2020-02-27,NP,6,8,4,8,5,-1
2020-02-27,NZ,3,12,-4,19,3,-2
2020-02-27,OM,1,1,-3,2,2,0
2020-02-27,PA,5,1,-6,0,4,0
2020-02-27,PE,1,2,1,0,2,0
2020-02-27,PG,10,4,-8,16,9,-1
2020-02-27,PH,0,-6,-6,8,-1,0
2020-02-27,PK,-1,1,3,1,-1,1
2020-02-27,PL,4,5,0,9,3,-1
2020-02-27,PR,2,1,4,10,3,-3
2020-02-27,PT,8,6,25,1,3,-1
2020-02-27,PY,2,-4,-1,17,1,-2
2020-02-27,QA,6,-2,6,4,3,1
2020-02-27,RO,3,5,-9,18,1,-1
2020-02-27,RW,-3,9,7,0,2,1
2020-02-27,SA,6,-8,1,-1,3,1
2020-02-27,SE,2,-1,14,-6,7,1
2020-02-27,SG,-9,-10,-7,0,-9,7
2020-02-27,SI,0,1,7,-7,-1,1
2020-02-27,SK,4,0,2,-7,-1,3
2020-02-27,SN,-2,-3,0,3,-4,1
2020-02-27,SV,3,-1,-3,7,2,-1
2020-02-27,TG,-3,-4,3,1,-8,3
2020-02-27,TH,3,-7,-7,-1,-2,2
2020-02-27,TJ,-1,1,-11,17,-4,-1
2020-02-27,TR,3,1,6,9,-3,-1
2020-02-27,TT,12,16,9,-4,6,2
2020-02-27,TW,8,-11,44,-34,5,8
2020-02-27,TZ,0,4,-1,-1,0,1
2020-02-27,UG,0,0,-8,10,0,0
2020-02-27,US,3,5,10,2,8,-1
2020-02-27,US_AK,5,8,13,5,11,-2
2020-02-27,US_AL,6,10,19,1,12,-1
2020-02-27,US_AR,9,6,42,3,17,-3
2020-02-27,US_AZ,5,7,12,2,7,-1
2020-02-27,US_CA,4,3,11,3,4,-1
2020-02-27,US_CO,7,4,21,3,7,-2
2020-02-27,US_CT,0,3,2,3,3,0
2020-02-27,US_DE,3,1,-3,2,7,-1
2020-02-27,US_FL,5,5,4,1,6,-1
2020-02-27,US_GA,4,7,23,2,9,-2
2020-02-27,US_HI,2,-1,0,1,2,0
2020-02-27,US_IA,9,4,14,4,10,-2
2020-02-27,US_ID,7,10,46,1,10,-2
2020-02-27,US_IL,4,6,4,1,6,-1
2020-02-27,US_IN,2,8,5,1,7,0
2020-02-27,US_KS,2,12,50,6,15,-4
2020-02-27,US_KY,8,3,8,1,10,-1
2020-02-27,US_LA,8,11,21,-3,12,0
2020-02-27,US_MA,1,6,-2,3,5,0
2020-02-27,US_MD,0,1,1,3,3,0
2020-02-27,US_ME,-2,4,-3,0,3,1
2020-02-27,US_MI,-2,12,-4,-2,2,1
2020-02-27,US_MN,3,7,-1,2,4,-1
2020-02-27,US_MO,4,10,29,14,15,-2
2020-02-27,US_MS,8,11,18,1,16,-2
2020-02-27,US_MT,5,8,16,1,11,-1
2020-02-27,US_NC,4,12,16,2,11,-2
2020-02-27,US_ND,0,8,12,4,8,0
2020-02-27,US_NE,7,10,28,3,10,-2
2020-02-27,US_NH,-4,4,2,-11,2,2
2020-02-27,US_NJ,1,2,2,2,2,0
2020-02-27,US_NM,13,9,18,4,12,-2
2020-02-27,US_NV,4,3,12,1,6,-1
2020-02-27,US_NY,-1,0,-7,2,0,1
2020-02-27,US_OH,1,6,3,0,4,1
2020-02-27,US_OK,8,12,31,3,15,-2
2020-02-27,US_OR,5,7,31,2,8,-1
2020-02-27,US_PA,1,4,1,2,4,0
2020-02-27,US_RI,-2,6,3,3,7,0
2020-02-27,US_SC,5,14,10,1,12,-2
2020-02-27,US_SD,11,9,11,1,10,-1
2020-02-27,US_TN,4,9,12,1,9,-1
2020-02-27,US_TX,7,7,20,2,10,-2
2020-02-27,US_UT,13,9,45,4,8,-2
2020-02-27,US_VA,4,6,6,2,6,-1
2020-02-27,US_VT,-2,4,-10,-9,1,2
2020-02-27,US_WA,3,7,38,2,7,-2
2020-02-27,US_WI,0,7,6,2,5,0
2020-02-27,US_WV,-1,3,-4,-1,7,1
2020-02-27,US_WY,11,15,16,3,10,-1
2020-02-27,UY,-3,-2,-10,5,-3,0
2020-02-27,VE,5,3,3,10,5,0
2020-02-27,VN,-8,-10,-8,0,-7,5
2020-02-27,YE,3,6,3,8,5,2
2020-02-27,ZA,9,14,-6,4,10,-2
2020-02-27,ZM,-2,-4,0,7,2,2
2020-02-27,ZW,7,-12,-4,7,5,0
2020-02-28,AE,7,-1,-1,4,1,1
2020-02-28,AF,2,4,0,6,-1,2
2020-02-28,AG,6,10,6,5,4,0
2020-02-28,AO,9,3,9,5,7,0
2020-02-28,AR,4,6,-8,5,4,1
2020-02-28,AT,5,0,6,1,1,0
2020-02-28,AU,6,12,12,8,6,-2
2020-02-28,AW,11,3,9,5,6,-1
2020-02-28,BA,3,-1,8,5,2,-1
2020-02-28,BB,3,4,32,1,9,-1
2020-02-28,BD,6,8,14,9,6,0
2020-02-28,BE,3,-5,-4,-10,-3,2
2020-02-28,BF,0,2,0,5,2,-3
2020-02-28,BG,8,9,-3,3,-1,0
2020-02-28,BH,-3,-11,-19,2,-14,4
2020-02-28,BJ,5,6,1,-2,0,1
2020-02-28,BO,-1,-12,-4,10,-6,2
2020-02-28,BR,4,-1,-21,8,-3,2
2020-02-28,BS,5,11,11,2,6,-1
2020-02-28,BW,11,7,-3,2,13,-3
2020-02-28,BY,6,4,12,6,1,0
2020-02-28,BZ,6,16,21,4,7,-1
2020-02-28,CA,5,5,6,5,5,0
2020-02-28,CH,6,-5,-5,-3,-4,2
2020-02-28,CI,0,0,9,2,0,-1
2020-02-28,CL,11,4,-6,1,10,1
2020-02-28,CM,0,1,2,0,-2,0
2020-02-28,CO,10,8,-3,13,6,-2
2020-02-28,CR,11,4,2,11,4,-1
2020-02-28,CV,-3,-9,-6,2,0,1
2020-02-28,CZ,5,1,0,3,1,0
2020-02-28,DE,7,0,9,-2,0,1
2020-02-28,DK,-2,5,-4,1,12,0
2020-02-28,DO,8,5,4,1,4,0
2020-02-28,EC,7,-1,-6,-3,-2,3
2020-02-28,EE,1,-1,14,-6,-5,1
2020-02-28,EG,8,9,12,7,7,0
2020-02-28,ES,1,5,23,-4,-1,-1
2020-02-28,FI,1,1,31,-6,3,0
2020-02-28,FJ,-2,4,-1,9,4,0
2020-02-28,FR,1,2,-4,-8,-5,2
2020-02-28,GA,2,0,-1,4,2,0
2020-02-28,GB,1,-2,-14,0,1,1
2020-02-28,GE,12,4,2,9,3,0
2020-02-28,GH,-1,2,0,1,-1,-1
2020-02-28,GR,19,3,15,1,1,0
2020-02-28,GT,6,4,4,5,7,-2
2020-02-28,HK,-3,-27,-9,-15,-22,13
2020-02-28,HN,4,-7,-12,5,-2,1
2020-02-28,HR,1,-5,2,1,-1,1
2020-02-28,HT,-3,-10,-8,0,-5,3
2020-02-28,HU,4,4,6,3,1,0
2020-02-28,ID,5,4,-6,6,2,0
2020-02-28,IE,0,-5,-19,-2,-7,2
2020-02-28,IL,3,4,32,2,2,-1
2020-02-28,IN,0,1,0,7,-1,0
2020-02-28,IQ,14,14,12,11,10,1
2020-02-28,IT,-2,-17,5,-10,-9,4
2020-02-28,JM,3,3,-6,-2,1,2
2020-02-28,JO,7,-3,32,0,6,-2
2020-02-28,JP,11,-17,-17,2,-7,4
2020-02-28,KE,2,5,7,6,5,-1
2020-02-28,KG,8,6,3,15,7,-3
2020-02-28,KH,-1,-21,-1,5,1,1
2020-02-28,KR,-12,-31,-20,-10,-37,13
2020-02-28,KW,-4,-4,-10,1,-15,4
2020-02-28,KZ,8,17,5,11,8,-1
2020-02-28,LA,5,-6,-2,9,2,0
2020-02-28,LB,3,-5,-2,-2,-3,1
2020-02-28,LK,7,7,5,8,5,1
2020-02-28,LT,2,-2,11,2,-6,1
2020-02-28,LU,10,10,8,0,-1,1
2020-02-28,LV,3,5,11,3,1,0
2020-02-28,LY,5,9,10,6,3,0
2020-02-28,MD,0,-4,4,4,-1,0
2020-02-28,MK,6,-5,1,9,0,1
2020-02-28,ML,-4,-3,0,6,6,0
2020-02-28,MM,5,4,-1,8,5,1
2020-02-28,MN,-22,-38,-27,-18,-36,11
2020-02-28,MT,7,4,16,3,7,0
2020-02-28,MU,7,2,-15,29,12,0
2020-02-28,MX,8,5,5,7,5,-1
2020-02-28,MY,0,2,4,3,2,0
2020-02-28,MZ,9,2,-2,7,2,-2
2020-02-28,NA,16,0,14,7,18,-4
2020-02-28,NE,-9,9,-2,6,6,-2
2020-02-28,NG,1,2,2,2,1,0
2020-02-28,NI,5,0,1,9,4,-1
2020-02-28,NL,1,-3,-1,-5,-2,1
2020-02-28,NO,0,2,8,-3,-2,0
2020-02-28,NP,6,5,3,7,5,0
2020-02-28,NZ,10,6,-3,9,6,0
2020-02-28,OM,2,2,-4,2,2,1
2020-02-28,PA,12,6,-6,4,11,-1
2020-02-28,PE,4,5,4,1,5,-1
2020-02-28,PG,13,2,-7,17,11,-2
2020-02-28,PH,4,-2,-3,9,3,0
2020-02-28,PK,-2,-2,-1,2,-3,1
2020-02-28,PL,3,2,6,5,4,0
2020-02-28,PR,0,-2,10,2,3,-2
2020-02-28,PT,8,4,4,1,1,0
2020-02-28,PY,6,-4,-4,10,3,-1
2020-02-28,QA,7,-1,6,6,3,1
2020-02-28,RO,5,5,-5,11,4,-1
2020-02-28,RW,-4,5,8,-7,-1,1
2020-02-28,SA,6,-8,-1,1,1,1
2020-02-28,SE,3,3,11,-2,7,0
2020-02-28,SG,-8,-12,-4,0,-8,6
2020-02-28,SI,0,3,4,-2,-1,1
2020-02-28,SK,14,7,2,1,6,0
2020-02-28,SN,0,-1,0,4,-2,1
2020-02-28,SV,6,0,-2,7,4,-1
2020-02-28,TG,-4,-2,3,1,-6,2
2020-02-28,TH,6,-7,-12,3,-1,1
2020-02-28,TJ,2,4,-6,18,1,-2
2020-02-28,TR,-1,-7,-10,8,-5,1
2020-02-28,TT,13,15,10,0,8,1
2020-02-28,TW,4,-16,41,-18,-2,6
2020-02-28,TZ,2,7,-1,0,1,0
2020-02-28,UG,2,2,-6,10,3,0
2020-02-28,US,6,7,17,4,10,-2
2020-02-28,US_AK,8,11,10,5,13,-2
2020-02-28,US_AL,9,17,44,4,14,-2
2020-02-28,US_AR,10,7,63,4,17,-3
2020-02-28,US_AZ,6,7,13,2,6,-1
2020-02-28,US_CA,4,1,14,3,4,-1
2020-02-28,US_CO,7,4,11,3,6,-1
2020-02-28,US_CT,0,5,19,3,7,-1
2020-02-28,US_DE,4,7,5,5,10,-1
2020-02-28,US_FL,4,5,7,2,6,-1
2020-02-28,US_GA,6,11,37,3,11,-2
2020-02-28,US_HI,1,-1,0,1,1,0
2020-02-28,US_IA,16,8,38,4,13,-3
2020-02-28,US_ID,8,11,24,2,10,-2
2020-02-28,US_IL,9,9,19,4,12,-2
2020-02-28,US_IN,8,13,21,2,15,-2
2020-02-28,US_KS,7,13,99,6,13,-4
2020-02-28,US_KY,12,10,29,3,15,-2
2020-02-28,US_LA,8,12,29,1,11,-2
2020-02-28,US_MA,1,10,17,2,8,-1
2020-02-28,US_MD,2,0,-1,3,4,-1
2020-02-28,US_ME,0,13,1,1,10,-1
2020-02-28,US_MI,4,24,16,4,9,-1
2020-02-28,US_MN,5,6,4,4,7,-1
2020-02-28,US_MO,10,11,70,10,15,-3
2020-02-28,US_MS,11,15,35,3,19,-3
2020-02-28,US_MT,7,11,4,1,13,-2
2020-02-28,US_NC,3,13,24,2,13,-2
2020-02-28,US_ND,7,10,19,5,11,-1
2020-02-28,US_NE,10,10,70,3,13,-3
2020-02-28,US_NH,-2,10,7,-2,4,-1
2020-02-28,US_NJ,2,2,7,3,5,-1
2020-02-28,US_NM,13,8,23,3,12,-3
2020-02-28,US_NV,5,4,7,0,7,-1
2020-02-28,US_NY,1,0,-6,4,5,0
2020-02-28,US_OH,4,7,11,2,9,-1
2020-02-28,US_OK,10,13,49,4,14,-3
2020-02-28,US_OR,5,6,13,3,8,-1
2020-02-28,US_PA,2,5,-2,3,8,-1
2020-02-28,US_RI,-2,6,22,3,7,-1
2020-02-28,US_SC,7,15,31,3,14,-3
2020-02-28,US_SD,16,10,21,2,13,-2
2020-02-28,US_TN,7,14,45,4,14,-2
2020-02-28,US_TX,8,9,28,3,10,-3
2020-02-28,US_UT,13,10,40,4,6,-2
2020-02-28,US_VA,5,6,1,2,6,-1
2020-02-28,US_VT,-2,14,9,-3,5,0
2020-02-28,US_WA,5,5,31,2,7,-1
2020-02-28,US_WI,6,10,22,4,11,-1
2020-02-28,US_WV,2,6,2,1,11,0
2020-02-28,US_WY,13,18,13,2,12,-2
2020-02-28,UY,-1,-5,-11,3,0,1
2020-02-28,VE,7,6,4,11,9,0
2020-02-28,VN,-4,-7,-8,-2,-6,6
2020-02-28,YE,6,8,2,8,6,1
2020-02-28,ZA,13,11,-8,5,17,-2
2020-02-28,ZM,6,0,2,7,11,1
2020-02-28,ZW,6,-12,-2,6,3,0
2020-02-29,AE,9,-1,1,4,3,1
2020-02-29,AF,7,8,1,8,2,1
2020-02-29,AG,9,8,11,3,4,-1
2020-02-29,AO,14,5,2,5,6,0
2020-02-29,AR,4,3,-10,-1,0,2
2020-02-29,AT,7,1,7,1,1,0
2020-02-29,AU,7,7,19,1,5,-1
2020-02-29,AW,8,3,6,4,7,0
2020-02-29,BA,2,-5,3,-1,-3,1
2020-02-29,BB,2,5,50,1,16,-1
2020-02-29,BD,6,6,8,12,5,0
2020-02-29,BE,5,3,-4,-2,-1,0
2020-02-29,BF,3,4,1,5,5,-3
2020-02-29,BG,8,14,46,7,10,-3
2020-02-29,BH,-1,-8,-9,0,-9,3
2020-02-29,BJ,4,8,1,0,-1,-1
2020-02-29,BO,0,-13,-7,3,-7,4
2020-02-29,BR,4,-7,-31,1,-7,4
2020-02-29,BS,3,7,8,1,4,0
2020-02-29,BW,10,7,-1,3,12,-2
2020-02-29,BY,2,1,10,5,-3,0
2020-02-29,BZ,5,17,11,2,5,-1
2020-02-29,CA,8,6,19,6,9,-1
2020-02-29,CH,7,-1,15,-2,0,1
2020-02-29,CI,3,3,10,4,4,-1
2020-02-29,CL,14,7,-13,1,12,2
2020-02-29,CM,0,1,1,0,-2,0
2020-02-29,CO,13,5,-2,5,6,0
2020-02-29,CR,13,2,1,4,3,0
2020-02-29,CV,-3,-8,-5,-1,0,1
2020-02-29,CZ,7,7,20,4,6,-1
2020-02-29,DE,14,3,17,0,5,0
2020-02-29,DK,-6,5,-9,1,17,0
2020-02-29,DO,3,1,-4,-2,-2,1
2020-02-29,EC,6,0,-7,0,-4,2
2020-02-29,EE,1,0,2,1,-3,0
2020-02-29,EG,8,8,5,9,2,-1
2020-02-29,ES,5,5,10,0,1,-2
2020-02-29,FI,0,-1,5,-3,-1,0
2020-02-29,FJ,0,0,1,7,4,0
2020-02-29,FR,3,2,-13,-1,-2,0
2020-02-29,GA,1,-1,-3,4,3,0
2020-02-29,GB,2,3,5,1,5,0
2020-02-29,GE,7,0,-5,7,-2,1
2020-02-29,GH,1,1,-2,3,-1,0
2020-02-29,GR,27,-1,63,3,15,-1
2020-02-29,GT,7,6,5,4,8,-2
2020-02-29,HK,-4,-26,-5,-15,-22,11
2020-02-29,HN,8,-4,-6,3,2,1
2020-02-29,HR,-3,-6,-26,-1,-6,1
2020-02-29,HT,-6,-12,-14,-1,-9,3
2020-02-29,HU,3,7,9,3,4,0
2020-02-29,ID,5,2,-8,4,2,0
2020-02-29,IE,1,-2,-13,1,-2,1
2020-02-29,IL,7,2,12,1,5,-1
2020-02-29,IN,2,0,0,5,0,1
2020-02-29,IQ,13,9,6,7,9,2
2020-02-29,IT,-4,-23,-19,-6,-16,4
2020-02-29,JM,3,3,-6,2,2,0
2020-02-29,JO,2,-4,6,2,0,0
2020-02-29,JP,9,-22,-8,2,-10,4
2020-02-29,KE,1,4,5,6,4,-1
2020-02-29,KG,12,7,11,13,10,-4
2020-02-29,KH,1,-20,0,5,1,1
2020-02-29,KR,-9,-35,-16,-14,-40,12
2020-02-29,KW,-1,3,-5,0,-10,3
2020-02-29,KZ,9,19,9,9,10,-2
2020-02-29,LA,5,-7,-5,6,1,1
2020-02-29,LB,5,-4,-1,0,-4,1
2020-02-29,LK,6,7,3,7,5,1
2020-02-29,LT,-1,-1,25,2,-5,1
2020-02-29,LU,14,12,-1,-1,-3,0
2020-02-29,LV,7,9,30,3,3,-1
2020-02-29,LY,8,5,12,8,6,0
2020-02-29,MD,2,-1,7,7,2,0
2020-02-29,MK,11,3,21,7,1,-1
2020-02-29,ML,-3,-3,1,6,3,1
2020-02-29,MM,4,3,3,5,5,1
