date,key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-05-07,AE,-53,-23,-68,-63,-44,30
2020-05-07,AF,-44,-25,-21,-45,-32,16
2020-05-07,AG,-39,-26,-31,-63,-51,31
2020-05-07,AO,-33,-12,-19,-45,-30,19
2020-05-07,AR,-73,-23,-89,-55,-40,21
2020-05-07,AR_B,-73,-21,-91,-50,-45,23
2020-05-07,AR_L,-67,-14,-82,-37,-22,17
2020-05-07,AR_R,-82,-43,-89,-89,-41,24
2020-05-07,AR_T,-70,-19,-80,-63,-30,17
2020-05-07,AR_W,-67,-25,-82,-65,-20,15
2020-05-07,AR_Y,-65,-11,-83,-65,-16,15
2020-05-07,AT,-39,-5,12,-41,-38,12
2020-05-07,AU,-32,-2,-25,-54,-31,16
2020-05-07,AU_ACT,-37,-9,-2,-50,-41,19
2020-05-07,AU_NSW,-33,-1,-21,-53,-35,18
2020-05-07,AU_NT,-17,9,6,-29,3,8
2020-05-07,AU_QLD,-27,1,-20,-52,-26,13
2020-05-07,AU_SA,-24,7,-23,-42,-18,12
2020-05-07,AU_TAS,-40,-14,-54,-54,-22,15
2020-05-07,AU_VIC,-40,-9,-37,-65,-39,20
2020-05-07,AU_WA,-24,6,-38,-49,-18,13
2020-05-07,AW,-49,-16,-35,-53,-46,25
2020-05-07,BA,-42,-8,24,-33,-34,9
2020-05-07,BB,-57,-36,-46,-66,-56,26
2020-05-07,BD,-66,-44,-36,-63,-43,22
2020-05-07,BE,-57,-13,19,-56,-52,22
2020-05-07,BF,-17,-8,-11,-26,-7,11
2020-05-07,BG,-32,-9,2,-37,-36,11
2020-05-07,BH,-41,-12,-39,-32,-24,22
2020-05-07,BJ,-14,-2,-1,-18,-10,9
2020-05-07,BO,-79,-65,-72,-77,-68,35
2020-05-07,BR,-48,1,-43,-47,-31,16
2020-05-07,BS,-45,-12,-23,-75,-48,26
2020-05-07,BW,-56,-44,-23,-74,-56,37
2020-05-07,BY,-18,-1,16,-20,-19,6
2020-05-07,BZ,-45,-24,-38,-58,-47,20
2020-05-07,CA,-42,-11,32,-62,-54,21
2020-05-07,CA_AB,-37,-2,6,-63,-49,19
2020-05-07,CA_BC,-39,-4,103,-54,-50,18
2020-05-07,CA_MB,-25,4,27,-55,-41,17
2020-05-07,CA_NB,-28,-12,31,-43,-49,17
2020-05-07,CA_NL,-30,-10,46,-59,-52,15
2020-05-07,CA_NS,-40,-18,-12,-71,-56,20
2020-05-07,CA_NT,,,,-37,-41,
2020-05-07,CA_NU,,,,,-21,
2020-05-07,CA_ON,-49,-14,-1,-65,-59,24
2020-05-07,CA_PE,-36,-9,,,-47,17
2020-05-07,CA_QC,-43,-15,40,-64,-54,22
2020-05-07,CA_SK,-26,4,102,-45,-43,14
2020-05-07,CA_YT,,,,,-34,
2020-05-07,CH,-53,-2,56,-38,-36,15
2020-05-07,CH_AG,-40,4,87,-31,-30,14
2020-05-07,CH_AI,,,,,-25,
2020-05-07,CH_AR,,,,-19,-25,
2020-05-07,CH_BL,-35,12,,-27,-31,14
2020-05-07,CH_FR,-51,0,100,-36,-35,15
2020-05-07,CH_GE,-65,-15,39,-60,-52,22
2020-05-07,CH_GL,,,,10,-21,
2020-05-07,CH_GR,-69,-13,4,-48,-31,9
2020-05-07,CH_JU,-52,1,,-27,-35,14
2020-05-07,CH_LU,-50,-3,27,-34,-27,13
2020-05-07,CH_NE,-50,-13,,-28,-40,16
2020-05-07,CH_NW,,,,-37,-25,
2020-05-07,CH_OW,,,,-25,-24,
2020-05-07,CH_SG,-47,2,108,-25,-25,12
2020-05-07,CH_SH,,,,-31,-29,
2020-05-07,CH_SO,-46,11,,-31,-27,12
2020-05-07,CH_SZ,-32,9,,-17,-32,12
2020-05-07,CH_TG,-43,9,101,-23,-23,10
2020-05-07,CH_TI,-59,-11,16,-40,-36,16
2020-05-07,CH_UR,,,,-31,-25,
2020-05-07,CH_VD,-55,-11,67,-40,-45,19
2020-05-07,CH_VS,-57,-9,-5,-38,-33,12
2020-05-07,CI,-19,-4,-9,-20,-18,15
2020-05-07,CL,-56,-30,-55,-53,-42,22
2020-05-07,CL_AI,-51,-24,-54,-75,-20,14
2020-05-07,CL_AN,-67,-54,-69,-68,-45,25
2020-05-07,CL_AP,-69,-45,-76,-66,-47,24
2020-05-07,CL_AT,-45,-25,-45,-60,-24,18
2020-05-07,CL_CO,-58,-36,-73,-58,-32,18
2020-05-07,CL_LI,-39,-21,-46,-39,-24,18
2020-05-07,CL_LL,-52,-38,-55,-53,-28,18
2020-05-07,CL_LR,-59,-42,-70,-61,-33,20
2020-05-07,CL_ML,-44,-26,-45,-37,-22,18
2020-05-07,CL_NB,-47,-33,-38,-67,-49,15
2020-05-07,CL_TA,-60,-31,-60,-39,-32,19
2020-05-07,CL_VS,-54,-35,-62,-49,-34,19
2020-05-07,CM,-16,-9,-15,-15,-15,10
2020-05-07,CO,-66,-41,-54,-64,-56,28
