date,key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-04-30,AE,-57,-26,-71,-66,-47,31
2020-04-30,AF,-47,-30,-19,-48,-33,17
2020-04-30,AG,-42,-28,-39,-70,-55,29
2020-04-30,AO,-28,-6,-13,-39,-31,18
2020-04-30,AR,-75,-20,-90,-56,-44,22
2020-04-30,AR_B,-75,-19,-92,-52,-48,23
2020-04-30,AR_L,-73,-17,-85,-41,-32,18
2020-04-30,AR_R,-84,-43,-89,-90,-47,25
2020-04-30,AR_T,-70,-11,-80,-63,-33,16
2020-04-30,AR_W,-69,-19,-83,-66,-24,15
2020-04-30,AR_Y,-71,-9,-84,-70,-21,14
2020-04-30,AT,-49,13,-10,-49,-45,14
2020-04-30,AU,-39,-8,-43,-60,-34,18
2020-04-30,AU_ACT,-43,-14,-52,-61,-45,22
2020-04-30,AU_NSW,-43,-12,-56,-62,-39,21
2020-04-30,AU_NT,-19,9,-4,-34,-1,9
2020-04-30,AU_QLD,-34,-5,-24,-56,-29,14
2020-04-30,AU_SA,-31,-1,-51,-50,-23,15
2020-04-30,AU_TAS,-46,-17,-60,-59,-26,16
2020-04-30,AU_VIC,-44,-12,-56,-69,-42,22
2020-04-30,AU_WA,-28,1,-26,-50,-22,14
2020-04-30,AW,-51,-2,-38,-51,-55,25
2020-04-30,BA,-44,0,22,-32,-39,10
2020-04-30,BB,-63,-29,-58,-72,-68,28
2020-04-30,BD,-71,-51,-36,-69,-50,26
2020-04-30,BE,-60,-1,-28,-64,-57,25
2020-04-30,BF,-20,-11,-12,-36,-10,13
2020-04-30,BG,-39,-8,-9,-41,-37,12
2020-04-30,BH,-46,-15,-42,-35,-27,22
2020-04-30,BJ,-15,-4,-1,-18,-13,10
2020-04-30,BO,-79,-66,-71,-78,-70,35
2020-04-30,BR,-48,3,-37,-46,-31,14
2020-04-30,BS,-52,-17,-31,-82,-56,28
2020-04-30,BW,-50,-38,-18,-73,-59,35
2020-04-30,BY,-16,1,16,-20,-25,6
2020-04-30,BZ,-48,-14,-35,-58,-57,20
2020-04-30,CA,-47,-17,-4,-65,-57,23
2020-04-30,CA_AB,-40,-6,-12,-65,-51,20
2020-04-30,CA_BC,-43,-9,65,-56,-52,20
2020-04-30,CA_MB,-30,1,49,-54,-44,17
2020-04-30,CA_NB,-28,-14,41,-45,-51,18
2020-04-30,CA_NL,-32,-17,35,-62,-55,16
2020-04-30,CA_NS,-37,-15,3,-62,-56,18
2020-04-30,CA_NT,,,,-39,-46,
2020-04-30,CA_NU,,,,,-27,
2020-04-30,CA_ON,-51,-18,-24,-67,-61,26
2020-04-30,CA_PE,-31,-6,,,-49,16
2020-04-30,CA_QC,-56,-26,-43,-73,-60,26
2020-04-30,CA_SK,-27,3,89,-47,-45,15
2020-04-30,CA_YT,,,,,-38,
2020-04-30,CH,-62,-1,-42,-49,-40,19
2020-04-30,CH_AG,-49,6,-17,-39,-33,17
2020-04-30,CH_AI,,,,,-25,
2020-04-30,CH_AR,,,,-40,-26,
2020-04-30,CH_BL,-41,37,-4,-32,-37,17
2020-04-30,CH_FR,-64,-4,-30,-51,-40,21
2020-04-30,CH_GE,-74,-27,-61,-71,-59,28
2020-04-30,CH_GL,,,,-24,-22,
2020-04-30,CH_GR,-75,-17,-49,-59,-36,14
2020-04-30,CH_JU,-61,16,,-37,-40,
2020-04-30,CH_LU,-59,-6,-50,-47,-31,17
2020-04-30,CH_NE,-57,-5,,-44,-48,21
2020-04-30,CH_NW,,,,-53,-32,
2020-04-30,CH_OW,,,,-53,-28,
2020-04-30,CH_SG,-60,3,-9,-39,-27,15
2020-04-30,CH_SH,,,,-39,-33,
2020-04-30,CH_SO,-54,13,-32,-42,-31,16
2020-04-30,CH_SZ,-48,8,,-32,-33,17
2020-04-30,CH_TG,-47,26,-32,-37,-26,13
2020-04-30,CH_TI,-67,-3,-39,-53,-45,20
2020-04-30,CH_UR,,,,-51,-28,
2020-04-30,CH_VD,-68,-19,-52,-59,-51,24
2020-04-30,CH_VS,-68,-15,-51,-52,-39,18
2020-04-30,CI,-21,-6,-14,-25,-20,16
2020-04-30,CL,-52,-23,-53,-50,-42,19
2020-04-30,CL_AI,-43,-10,-46,-61,-21,10
2020-04-30,CL_AN,-42,-23,-53,-45,-30,16
2020-04-30,CL_AP,-70,-43,-78,-65,-50,22
2020-04-30,CL_AT,-39,-18,-44,-55,-24,15
2020-04-30,CL_CO,-55,-29,-71,-55,-32,15
2020-04-30,CL_LI,-36,-13,-44,-34,-26,14
2020-04-30,CL_LL,-55,-33,-54,-52,-34,16
2020-04-30,CL_LR,-57,-33,-68,-59,-35,17
2020-04-30,CL_ML,-41,-20,-42,-37,-25,15
2020-04-30,CL_NB,-50,-34,-41,-75,-53,15
2020-04-30,CL_TA,-55,-24,-59,-36,-33,18
2020-04-30,CL_VS,-51,-29,-60,-45,-35,16
2020-04-30,CM,-23,-14,-22,-21,-19,9
2020-04-30,CO,-69,-45,-59,-70,-60,28
2020-04-30,CO_AMA,,,-59,,-41,
2020-04-30,CO_ANT,-69,-48,-58,-71,-60,28
2020-04-30,CO_ARA,,-29,-50,-44,-34,
2020-04-30,CO_CAL,-69,-50,-56,-80,-57,26
2020-04-30,CO_CAS,-67,-50,-52,-69,-43,26
2020-04-30,CO_CAU,-64,-44,-54,-44,-51,22
2020-04-30,CO_CAU,-63,-39,-58,-61,-56,24
2020-04-30,CO_CES,-68,-49,-57,-76,-49,22
2020-04-30,CO_CUN,-63,-43,-54,-60,-53,30
2020-04-30,CO_GUV,,,-50,,-30,
2020-04-30,CO_HUI,-66,-48,-58,,-53,23
2020-04-30,CO_LAG,-66,-42,-54,-70,-47,22
2020-04-30,CO_MAG,-67,-51,-70,-84,-53,22
