date,key,mobility_driving,mobility_transit,mobility_walking,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-05-12,AE,,,,-50,-20,-66,-61,-43,28
2020-05-12,AF,,,,-38,-14,-19,-41,-32,13
2020-05-12,AG,,,,-39,-28,-31,-63,-46,26
2020-05-12,AL,,,,,,,,,
2020-05-12,AO,,,,-33,-16,-21,-49,-28,20
2020-05-12,AR,,,,-70,-21,-88,-51,-36,19
2020-05-12,AR_A,,,,-63,-17,-79,-23,-16,14
2020-05-12,AR_C,,,,-71,-21,-90,-46,-40,20
2020-05-12,AR_D,,,,-71,-24,-90,-72,-24,15
2020-05-12,AR_E,,,,-66,-15,-89,-62,-18,14
2020-05-12,AR_F,,,,-65,-13,-93,-56,-24,15
2020-05-12,AR_G,,,,-66,-14,-78,-69,-23,15
2020-05-12,AR_H,,,,-69,-14,-89,-67,-27,15
2020-05-12,AR_J,,,,-63,-10,-86,-65,-11,14
2020-05-12,AR_K,,,,-54,8,-86,-39,-6,13
2020-05-12,AR_L,,,,-65,-13,-82,-31,-19,15
2020-05-12,AR_M,,,,-68,-23,-88,-39,-28,20
2020-05-12,AR_N,,,,-67,-31,-82,-79,-22,16
2020-05-12,AR_P,,,,-77,-20,-82,,-20,13
2020-05-12,AR_Q,,,,-71,-29,-87,-45,-34,21
2020-05-12,AR_R,,,,-79,-41,-87,-89,-36,22
2020-05-12,AR_S,,,,-65,-17,-91,-22,-26,16
2020-05-12,AR_T,,,,-63,-10,-77,-78,-25,14
2020-05-12,AR_U,,,,-67,-27,-88,-74,-28,18
2020-05-12,AR_V,,,,-72,-38,-84,-81,-41,22
2020-05-12,AR_W,,,,-65,-24,-82,-66,-18,13
2020-05-12,AR_X,,,,-70,-27,-89,-73,-33,19
2020-05-12,AR_Y,,,,-59,-8,-84,-62,-14,12
2020-05-12,AR_Z,,,,-65,-13,-78,-76,-24,17
2020-05-12,AT,,,,-39,-9,-4,-41,-35,13
2020-05-12,AT_11,,,,-30,-7,40,,-33,12
2020-05-12,AT_12,,,,-21,-1,40,-46,-35,12
2020-05-12,AT_13,,,,-42,-8,26,-41,-44,15
2020-05-12,AT_21,,,,-38,-9,-35,-42,-32,12
2020-05-12,AT_22,,,,-36,-9,-18,-43,-34,12
2020-05-12,AT_31,,,,-30,-4,34,-38,-31,12
2020-05-12,AT_32,,,,-53,-19,-51,-50,-35,12
2020-05-12,AT_33,,,,-55,-25,-41,-44,-35,11
2020-05-12,AT_34,,,,-39,-10,-35,-46,-29,12
2020-05-12,AU,,,,-31,-4,-30,-52,-28,15
2020-05-12,AU_ACT,,,,-38,-8,-12,-53,-37,19
2020-05-12,AU_NSW,,,,-33,-4,-29,-52,-31,16
2020-05-12,AU_NT,,,,-14,7,-2,-26,7,6
2020-05-12,AU_QLD,,,,-26,-2,-19,-50,-21,12
2020-05-12,AU_SA,,,,-25,-1,-28,-39,-14,11
2020-05-12,AU_TAS,,,,-43,-17,-67,-56,-23,14
2020-05-12,AU_VIC,,,,-38,-10,-41,-65,-38,19
2020-05-12,AU_WA,,,,-22,1,-18,-44,-14,11
2020-05-12,AW,,,,-50,-21,-28,-53,-43,23
2020-05-12,BA,,,,-32,1,1,-32,-26,9
2020-05-12,BB,,,,-60,-43,-42,-59,-52,25
2020-05-12,BD,,,,-56,-35,-30,-54,-40,19
2020-05-12,BE,,,,-40,-11,6,-50,-47,19
2020-05-12,BF,,,,-11,-6,-10,-21,-5,10
2020-05-12,BG,,,,-23,-6,25,-34,-31,9
2020-05-12,BH,,,,-37,-16,-31,-30,-23,19
2020-05-12,BJ,,,,-13,-2,-1,-15,-7,5
2020-05-12,BO,,,,-75,-63,-66,-73,-65,33
2020-05-12,BR,,,,-51,-11,-49,-48,-31,16
2020-05-12,BR_AC,,,,-49,-9,-38,-65,-30,13
2020-05-12,BR_AL,,,,-58,-21,-57,-55,-35,14
2020-05-12,BR_AM,,,,-53,-9,-44,-36,-35,15
2020-05-12,BR_AP,,,,-61,-13,-44,-77,-47,19
2020-05-12,BR_BA,,,,-52,-14,-52,-55,-30,15
2020-05-12,BR_CE,,,,-69,-22,-56,-63,-49,20
2020-05-12,BR_DF,,,,-53,0,-58,-36,-38,19
2020-05-12,BR_ES,,,,-44,-11,-40,-51,-22,14
2020-05-12,BR_GO,,,,-32,1,-16,-26,-19,14
2020-05-12,BR_MA,,,,-58,-13,-39,-64,-40,17
2020-05-12,BR_MG,,,,-41,-1,-26,-35,-21,13
2020-05-12,BR_MS,,,,-31,-8,-37,-46,-15,12
2020-05-12,BR_MT,,,,-24,3,-21,-30,-9,8
2020-05-12,BR_PA,,,,-56,-16,-43,-58,-39,18
2020-05-12,BR_PB,,,,-65,-18,-57,-57,-36,16
2020-05-12,BR_PE,,,,-63,-18,-56,-51,-40,18
2020-05-12,BR_PI,,,,-64,-23,-35,-73,-37,19
2020-05-12,BR_PR,,,,-37,-6,-39,-35,-17,13
2020-05-12,BR_RJ,,,,-61,-19,-65,-56,-43,20
2020-05-12,BR_RN,,,,-56,-15,-61,-48,-31,15
2020-05-12,BR_RO,,,,-33,-4,-22,-52,-13,11
2020-05-12,BR_RR,,,,-42,-7,-42,-62,-23,14
2020-05-12,BR_RS,,,,-48,-17,-57,-48,-23,16
2020-05-12,BR_SC,,,,-38,-16,-68,-59,-17,11
2020-05-12,BR_SE,,,,-55,-17,-54,-64,-38,15
2020-05-12,BR_SP,,,,-56,-12,-47,-50,-35,18
2020-05-12,BR_TO,,,,-37,-8,-28,-50,-18,13
2020-05-12,BS,,,,-41,-13,-24,-69,-46,22
2020-05-12,BW,,,,-44,-36,-22,-67,-50,33
2020-05-12,BY,,,,-20,-6,-14,-25,-19,8
2020-05-12,BZ,,,,-39,-22,-34,-54,-43,18
2020-05-12,CA,,,,-41,-11,20,-61,-51,20
2020-05-12,CA_AB,,,,-36,-7,22,-61,-47,18
2020-05-12,CA_BC,,,,-41,-7,45,-57,-48,19
2020-05-12,CA_MB,,,,-26,0,73,-49,-40,15
2020-05-12,CA_NB,,,,-28,-15,-2,-48,-46,17
2020-05-12,CA_NL,,,,-35,-19,4,-59,-51,16
2020-05-12,CA_NS,,,,-40,-19,10,-64,-55,19
2020-05-12,CA_NT,,,,,,,-32,-39,
2020-05-12,CA_NU,,,,,,,,-20,
2020-05-12,CA_ON,,,,-46,-14,0,-63,-56,22
2020-05-12,CA_PE,,,,-41,-15,,,-45,16
2020-05-12,CA_QC,,,,-40,-13,30,-62,-50,20
2020-05-12,CA_SK,,,,-29,-5,72,-45,-41,14
2020-05-12,CA_YT,,,,,,,,-37,
2020-05-12,CH,,,,-33,1,3,-33,-27,14
2020-05-12,CH_AG,,,,-20,9,48,-23,-23,12
2020-05-12,CH_AI,,,,,,,,-7,
2020-05-12,CH_AR,,,,,,,-21,-15,
2020-05-12,CH_BE,,,,-34,3,-11,-34,-23,12
2020-05-12,CH_BL,,,,-17,12,,-21,-25,12
2020-05-12,CH_BS,,,,,,,,,
2020-05-12,CH_FR,,,,-30,0,15,-35,-29,14
2020-05-12,CH_GE,,,,-45,-9,0,-50,-42,18
2020-05-12,CH_GL,,,,,,,0,-11,
2020-05-12,CH_GR,,,,-52,-17,-33,-44,-24,8
2020-05-12,CH_JU,,,,-26,4,,-26,-26,12
2020-05-12,CH_LU,,,,-26,3,-19,-30,-21,12
2020-05-12,CH_NE,,,,-29,-4,,-25,-34,14
2020-05-12,CH_NW,,,,,,,-25,-18,
